"Substrate_ACC","Substrate_GN","sites","Peptides","Basal.breast.cancer.rep2.Basal.breast.cancer.rep1.","Luminal.breast.cancer.rep2.Basal.breast.cancer.rep1.","Luminal.breast.cancer.rep1.Basal.breast.cancer.rep1.","Basal.breast.cancer.rep1.Basal.breast.cancer.rep1.","Luminal.breast.cancer.rep3.Basal.breast.cancer.rep1.","Luminal.breast.cancer.rep2.Basal.breast.cancer.rep1..1","Basal.breast.cancer.rep3.Basal.breast.cancer.rep1.","Basal.breast.cancer.rep2.Basal.breast.cancer.rep1..1","Luminal.breast.cancer.rep1.Basal.breast.cancer.rep1..1"
"P35579","MYH9",NA,NA,-0.335,0.298,0.154,-0.023,0.388,0.329,-0.095,-0.077,0.255
"O14745","NHERF1",NA,NA,-0.078,-0.032,-0.242,0.034,0.03,0.05,0.401,0.161,-0.1
"Q13263","TRIM28",NA,NA,-0.5,-0.776,-1.012,0.23,-0.636,-0.853,-0.818,-0.319,-1.234
"P09622","DLD",NA,NA,-0.266,0.333,0.167,0.095,0.04,0.262,0.046,-0.074,0.017
"Q8WYB5","KAT6B",NA,NA,-0.371,0.356,0.145,0.169,0.379,0.694,0.112,-0.301,0.358
"Q92794","KAT6A",NA,NA,-0.371,0.356,0.145,0.169,0.379,0.694,0.112,-0.301,0.358
"Q8WYB5","KAT6B",NA,NA,-0.371,0.356,0.145,0.169,0.379,0.694,0.112,-0.301,0.358
"Q92794","KAT6A",NA,NA,-0.371,0.356,0.145,0.169,0.379,0.694,0.112,-0.301,0.358
"P11142","HSPA8",NA,NA,-0.367,0.005,-0.25,0.024,-0.33,-0.024,-0.213,0.001,-0.145
"Q15648","MED1",NA,NA,-0.265,-0.104,-0.015,0.198,-0.177,0.048,0.259,1.654,-0.162
"P11142","HSPA8",NA,NA,0.174,-0.342,-0.827,0.205,-0.546,-0.489,-0.268,0.116,-0.649
"P06748","NPM1",NA,NA,-0.081,0.613,0.565,0.2,0.587,0.524,0.216,0.28,0.496
"P07900","HSP90AA1",NA,NA,-0.19,0.215,-0.074,0.068,0.094,0.222,0.045,0.014,-0.189
"Q03111","MLLT1",NA,NA,-0.235,-0.25,-0.513,0.024,-0.126,-0.255,0.177,-0.281,-0.383
"P13010","XRCC5",NA,NA,-0.382,0.633,0.38,0.343,0.081,0.207,0.264,-0.311,0.227
"Q9UKV3","ACIN1",NA,NA,1.14,1.434,1.05,-0.037,0.127,1.126,1.064,-0.318,-0.21
"P00367","GLUD1",NA,NA,-0.083,0.695,0.529,0.328,0.722,0.71,0.162,-0.227,0.511
"P13611","VCAN",NA,NA,-0.063,1.597,1.788,0.43,1.589,1.385,0.762,0.314,1.93
"P06748","NPM1",NA,NA,-0.185,0.814,0.883,0.072,0.707,0.879,0.002,0.006,0.942
"P12882","MYH1",NA,NA,-1.423,-1.308,-1.705,0.031,-1.236,-1.398,-1.121,-1.077,-1.806
"Q15291","RBBP5",NA,NA,-0.246,-1.147,-1.481,-0.102,-0.922,-1.336,0.212,-0.369,-1.312
"P13010","XRCC5",NA,NA,-0.255,0.04,-0.137,0.188,0.16,0.254,0.123,-0.155,-0.054
"Q13263","TRIM28",NA,NA,-0.489,0.139,-0.056,-0.249,0.237,0.117,0.019,-0.486,-0.067
"O94776","MTA2",NA,NA,-0.079,-0.185,-0.269,0.327,-0.048,0.102,0.328,-0.01,-0.409
"Q09472","EP300",NA,NA,-0.238,-0.44,-0.443,-0.277,0.555,-0.248,0.476,0.282,-0.63
"P35579","MYH9",NA,NA,-0.082,0.289,0.352,0.271,0.235,0.285,0.059,-0.151,0.3
"O75367","MACROH2A1",NA,NA,-0.306,1.033,0.699,0.342,0.983,0.924,0.339,0.08,0.579
"P07900","HSP90AA1",NA,NA,-0.084,0.049,-0.042,0.182,-0.059,0.163,0.189,-0.007,0.025
"Q16695","H3-4",NA,NA,0.064,-0.948,-0.728,0.154,-1.164,-0.497,0.058,0,-0.948
"P55854","SUMO3",NA,NA,0.094,0.156,0.184,0.297,0.256,0.364,0.393,1.533,0.164
"Q4LE39","ARID4B",NA,NA,0.086,0.219,0.079,0.318,0.264,0.24,0.191,0.168,0.16
"Q9Y6Q9","NCOA3",NA,NA,-0.412,0.453,-0.038,0.241,-0.221,0.315,0.025,-0.148,0.029
"P11142","HSPA8",NA,NA,-0.375,0.135,-0.287,-0.02,0.023,0.08,-0.09,-0.225,-0.012
"P04406","GAPDH",NA,NA,-0.107,0.092,0.016,0.155,0.172,0.078,0.374,0.082,0.223
"P53675","CLTCL1",NA,NA,-0.111,0.627,0.585,0.151,0.717,0.643,0.352,1.277,0.457
"P08670","VIM",NA,NA,-0.166,0.022,0.116,0.214,0.116,0.26,0.536,0.36,0.274
"P07900","HSP90AA1",NA,NA,-0.067,-2.429,-2.88,-0.14,-3.381,-2.453,-0.392,-0.178,-3.225
"Q15648","MED1",NA,NA,-0.306,-0.122,-0.249,0.015,-0.149,-0.185,0.11,-0.121,-0.094
"P11142","HSPA8",NA,NA,0.283,0.091,0.333,0.069,0.349,0.33,0.287,-0.283,-0.022
"P27695","APEX1",NA,NA,-0.181,-0.515,-0.786,-0.093,-0.683,-0.398,-0.446,-0.308,-0.625
"P42285","MTREX",NA,NA,-0.398,-0.157,-0.496,0.134,-0.302,-0.049,0.017,-0.062,-0.299
"P42285","MTREX",NA,NA,-0.525,0.387,-0.141,0.224,0.155,0.51,-0.282,-0.344,0.129
"P78527","PRKDC",NA,NA,-0.073,-0.871,-0.854,-0.033,-0.768,-0.732,0.655,-0.098,-0.862
"P16401","H1-5",NA,NA,0.085,0.631,0.37,0.338,0.469,0.619,0.45,0.233,0.398
"Q02539","H1-1",NA,NA,0.085,0.631,0.37,0.338,0.469,0.619,0.45,0.233,0.398
"P16403","H1-2",NA,NA,0.085,0.631,0.37,0.338,0.469,0.619,0.45,0.233,0.398
"Q9Y618","NCOR2",NA,NA,-0.145,-0.248,-0.353,0.116,-0.544,-0.169,0.371,-0.092,-0.397
"P60900","PSMA6",NA,NA,-0.293,-0.541,-0.494,0.111,-0.482,-0.484,-0.094,-0.2,-0.559
"Q15004","PCLAF",NA,NA,-0.451,0.491,0.202,0.112,0.727,0.638,0.104,-0.101,0.378
"P07305","H1-0",NA,NA,-0.682,0.755,0.94,0.097,0.427,1.081,0.128,-0.222,0.95
"Q14676","MDC1",NA,NA,-0.224,-0.417,-0.725,0.094,-0.696,-0.419,0.19,-0.043,-0.739
"P40763","STAT3",NA,NA,-0.23,-0.025,-0.061,0.132,-0.173,-0.08,0.127,0.062,-0.032
"P07900","HSP90AA1",NA,NA,-0.013,0.828,0.556,0.545,0.926,0.818,0.645,2.125,0.488
"P35579","MYH9",NA,NA,-0.501,0.278,0.312,-0.068,0.289,0.526,-0.129,-0.163,0.221
"Q03111","MLLT1",NA,NA,-0.19,-1.224,-1.575,0.079,-2.107,-0.953,-0.24,-0.017,-1.366
"P63167","DYNLL1",NA,NA,-0.083,0.173,0.181,0.082,0.051,0.119,0.014,-0.128,0.116
"P35659","DEK",NA,NA,-0.221,-1.956,-1.938,-0.012,-2.307,-1.788,-0.232,-0.116,-2.298
"P63167","DYNLL1",NA,NA,0.591,-0.438,-0.034,0.07,-0.664,-0.459,0.343,0.442,-0.351
"P11142","HSPA8",NA,NA,0.23,1.019,0.864,-0.026,1.013,0.995,0.996,0.095,0.624
"P13010","XRCC5",NA,NA,-0.153,0.58,0.198,0.24,0.87,0.554,0.392,-0.124,0.421
"Q02880","TOP2B",NA,NA,-0.225,-0.361,-0.567,0.14,-0.616,-0.335,-0.041,-0.213,-0.677
"Q13573","SNW1",NA,NA,-0.19,0.165,0.036,0.27,0.08,0.336,0.296,0.171,0
"Q03111","MLLT1",NA,NA,-0.294,-0.315,-0.393,0.185,-0.464,-0.271,-0.116,-0.192,-0.427
"Q15257","PTPA",NA,NA,-0.265,0.989,0.68,0.16,1.05,0.923,-0.044,0.068,0.811
"P12882","MYH1",NA,NA,-1.292,-1.124,-1.603,0,-1,-1.101,-0.903,-1.231,-1.496
"O00330","PDHX",NA,NA,-0.325,0.581,0.487,-0.007,0.478,0.644,0.064,0.29,0.359
"P13010","XRCC5",NA,NA,-0.109,0.072,-0.155,0.361,0.057,-0.066,0.094,0.125,-0.198
"P07900","HSP90AA1",NA,NA,0.032,0.278,0.055,0.063,0.178,0.077,0.134,0.108,-0.215
"Q92769","HDAC2",NA,NA,0.967,-0.885,-0.737,0.122,-0.948,-1.051,0.282,-0.269,-1.316
"Q13547","HDAC1",NA,NA,0.967,-0.885,-0.737,0.122,-0.948,-1.051,0.282,-0.269,-1.316
"Q02880","TOP2B",NA,NA,-0.403,-0.617,-0.873,0.336,-0.846,-0.682,-0.279,-0.262,-0.946
"P0C0S5","H2AZ1",NA,NA,-0.261,-0.566,-0.965,0.109,-1.524,-0.935,0.165,-0.289,-1.572
"Q14676","MDC1",NA,NA,-0.542,-0.797,-0.821,-0.142,-0.756,-0.449,0.074,-0.167,-0.861
"P52701","MSH6",NA,NA,-0.314,-1.196,-1.463,0.129,-1.47,-0.915,0.041,0.52,-1.139
"P78527","PRKDC",NA,NA,-0.311,-0.148,-0.431,0.114,0.129,-0.265,-0.093,-0.237,-0.5
"P78527","PRKDC",NA,NA,-0.482,-0.082,-0.102,0.132,-0.085,-0.001,-0.137,0.754,-0.254
"Q09472","EP300",NA,NA,-0.56,-0.422,-0.835,0.249,-0.472,-0.706,-0.612,-0.66,-0.817
"P63165","SUMO1",NA,NA,0.419,0.117,-0.076,0.254,-0.114,0.029,0.564,0.379,-0.282
"Q09472","EP300",NA,NA,-0.566,-0.331,-0.374,0.022,-0.3,-0.125,-0.139,-0.238,-0.294
"Q03164","KMT2A",NA,NA,0.291,0.242,0.25,0.448,0.326,0.473,0.703,0.176,0.036
"Q09472","EP300",NA,NA,-0.152,-0.174,0.363,0.331,0.309,0.253,0.349,-0.041,0.488
"O15305","PMM2",NA,NA,-0.115,0.408,0.152,0.245,0.59,0.345,0.262,0.215,0.3
"Q13263","TRIM28",NA,NA,-0.401,-0.131,-0.466,0.063,-0.3,-0.199,0.046,0.502,-0.275
"P35579","MYH9",NA,NA,-0.227,1.115,0.877,0.394,1.023,1.081,0.462,-0.051,0.755
"P54136","RARS1",NA,NA,-0.226,0.16,-0.018,0.204,0.372,0.231,0.273,0.22,-0.12
"P09622","DLD",NA,NA,-0.362,0.24,-0.198,-0.008,0.057,0.245,0.053,-0.155,-0.193
"Q15796","SMAD2",NA,NA,-0.151,-0.161,-0.231,0.021,0.101,-0.268,0.098,-0.229,-0.217
"P11142","HSPA8",NA,NA,-0.418,-0.297,-0.591,0.038,-0.338,-0.26,-0.032,0.196,-0.425
"P16403","H1-2",NA,NA,0.007,0.216,0.102,0.248,0.21,0.231,0.4,0.169,0.152
"Q92794","KAT6A",NA,NA,0.084,-0.231,-0.453,0.065,-0.311,-0.001,0.129,-0.101,-0.38
"Q03164","KMT2A",NA,NA,0.009,0.64,0.62,0.255,0.877,0.586,0.69,0.367,0.558
"Q15596","NCOA2",NA,NA,0.01,0.431,0.385,0.247,0.261,0.429,0.275,-0.081,0.327
"P12882","MYH1",NA,NA,-1.045,-0.842,-1.137,0.044,-0.73,-0.615,-0.509,0.434,-1.121
"P12882","MYH1",NA,NA,-2.173,-1.487,-2.7,-0.052,-2.008,-1.729,-1.704,-1.919,-2.504
"P11142","HSPA8",NA,NA,-0.119,0.286,0.177,0.132,0.476,0.235,0.038,-0.538,-0.071
"P35579","MYH9",NA,NA,-0.205,0.656,0.495,0.264,0.824,0.768,0.069,0.095,0.536
"P78527","PRKDC",NA,NA,-0.233,0.004,-0.094,0.338,0.372,0.228,0.29,0.184,0.002
"P53675","CLTCL1",NA,NA,-0.224,0.638,0.398,0.047,0.726,0.699,0.086,0.032,0.424
"P78527","PRKDC",NA,NA,-0.253,-0.248,-0.231,0.041,-0.045,0.113,-0.294,-0.103,-0.227
"P35579","MYH9",NA,NA,-0.285,0.635,0.255,0.054,0.686,0.67,-0.024,-0.228,0.531
"P35579","MYH9",NA,NA,-0.488,1.336,0.916,0.563,1.485,1.656,-0.022,0.059,1.113
"Q13547","HDAC1",NA,NA,-0.512,0.698,0.616,0.172,0.288,0.492,-0.336,-0.551,0.567
"P0C0S5","H2AZ1",NA,NA,-0.316,-0.356,-0.315,0.022,0.591,-0.518,-0.136,-0.226,-0.237
"P35579","MYH9",NA,NA,-0.367,-0.162,-0.348,0.01,-0.052,-0.255,0.384,-0.352,-0.215
"P61964","WDR5",NA,NA,-0.287,-0.088,-0.416,-0.238,-0.08,-0.149,-0.049,-0.131,-0.301
"Q15648","MED1",NA,NA,-0.162,-1.101,-1.298,0.197,-1.16,-0.936,0.082,-0.043,-1.268
"O95749","GGPS1",NA,NA,-0.199,0.076,-0.093,0.091,-0.161,0.116,-0.014,0.294,-0.22
"P35579","MYH9",NA,NA,-0.186,0.703,0.733,0.155,0.865,0.928,0.146,-0.087,0.916
"P78527","PRKDC",NA,NA,0.555,0.302,0.429,0.772,0.949,0.288,0.586,0.201,0.139
"P29590","PML",NA,NA,-0.684,0.278,-0.073,-0.245,-0.268,-0.114,0.021,-0.531,0.017
"Q4LE39","ARID4B",NA,NA,-0.55,-2.814,-3.938,-0.213,-3.763,-3.571,-0.361,-0.6,-3.573
"P35579","MYH9",NA,NA,0.028,0.85,0.615,0.481,0.77,0.927,0.48,0.324,0.794
"Q08211","DHX9",NA,NA,0.242,0.139,0.139,0.313,0.149,0.148,0.504,0.343,0.127
"Q02880","TOP2B",NA,NA,0.004,-0.453,-0.6,0.121,-0.458,-0.379,-0.127,-0.296,-0.926
"Q8WYB5","KAT6B",NA,NA,0.663,2.636,2.594,1.416,2.427,2.585,2.245,0.835,2.502
"Q03164","KMT2A",NA,NA,-0.148,0.156,0.103,0.194,0.222,-0.013,0.369,0.011,0.001
"P07305","H1-0",NA,NA,-0.282,0.77,0.934,0.218,0.14,0.93,0.727,1.457,0.487
"Q9Y618","NCOR2",NA,NA,-0.377,0.33,0.225,0.224,0.455,0.332,0.199,-0.331,0.345
"Q13263","TRIM28",NA,NA,-0.045,0.791,0.62,0.246,0.953,0.778,0.417,0.143,0.609
"Q15233","NONO",NA,NA,-0.006,-0.399,-0.752,0.283,-0.317,-0.215,0.091,-0.268,-0.692
"Q96A08","H2BC1",NA,NA,0.353,-1.092,-0.564,0.174,-0.517,-1.223,0.449,0.115,-1.117
"P12004","PCNA",NA,NA,0.006,-0.534,-0.563,0.165,-0.62,-0.369,0.266,-0.025,-0.679
"P06748","NPM1",NA,NA,0.125,0.224,0.007,0.36,-0.315,0.069,-0.045,0.198,-0.72
"Q9BUJ2","HNRNPUL1",NA,NA,-0.155,-0.001,-0.106,0.096,0.31,-0.115,0.323,-0.004,-0.188
"O75376","NCOR1",NA,NA,-0.632,-0.079,-0.393,-0.168,-0.289,-0.003,-0.092,-0.409,-0.316
"P04406","GAPDH",NA,NA,-0.478,1.671,1.494,0.444,1.702,1.798,0.562,0.524,1.571
"P12882","MYH1",NA,NA,-1.641,-1.29,-1.995,-0.077,-1.375,-1.365,-1.429,-0.787,-1.775
"Q92769","HDAC2",NA,NA,-0.22,-0.008,-0.414,0.146,0.186,-0.246,0.129,0.307,-0.075
"Q13547","HDAC1",NA,NA,-0.22,-0.008,-0.414,0.146,0.186,-0.246,0.129,0.307,-0.075
"P55854","SUMO3",NA,NA,-0.146,0.278,0.338,0.131,0.438,0.203,0.04,-0.166,0.197
"P07900","HSP90AA1",NA,NA,-0.009,-0.075,-0.18,0.385,0.015,0.124,0.043,-0.106,0.04
"Q4LE39","ARID4B",NA,NA,-0.523,-0.722,-1.03,-0.016,-0.934,-0.752,-0.754,-0.672,-1.072
"P35579","MYH9",NA,NA,-0.115,0.698,0.352,0.096,0.776,0.621,0.433,0.142,0.59
"P60900","PSMA6",NA,NA,-0.027,0.226,0.196,0.047,0.442,0.205,0.409,-0.21,0.097
"Q9Y618","NCOR2",NA,NA,-0.216,0.24,0.06,0.072,0.261,0.168,0.124,-0.042,0.296
"P29590","PML",NA,NA,-0.43,0.175,-0.416,-0.235,0.05,-0.453,-0.106,-0.035,-0.272
"Q13573","SNW1",NA,NA,0.047,-2.187,-2.384,0.228,-2.153,-2.309,0.42,0.189,-2.497
"Q15648","MED1",NA,NA,-0.506,-0.141,-0.618,0.479,-1.572,-0.353,-0.867,-0.478,-0.657
"P16401","H1-5",NA,NA,0.004,0.672,0.294,0.428,-0.177,0.868,0.508,0.118,0.394
"P16403","H1-2",NA,NA,0.004,0.672,0.294,0.428,-0.177,0.868,0.508,0.118,0.394
"P35579","MYH9",NA,NA,-0.377,-0.006,-0.265,0.271,0.104,-0.223,0.024,-0.322,-0.208
"Q16822","PCK2",NA,NA,-0.587,0.888,0.545,-0.007,0.959,0.715,0.465,0.28,0.686
"Q02880","TOP2B",NA,NA,0.026,-0.372,-0.575,0.167,-0.286,-0.123,0.311,0.955,-0.381
"P62826","RAN",NA,NA,-0.168,-0.048,-0.377,0.319,0.227,0.177,0.48,-0.186,0.01
"P35579","MYH9",NA,NA,-0.202,1.007,0.675,0.237,1.044,0.992,0.33,0.221,0.711
"Q02539","H1-1",NA,NA,-0.215,-0.837,-0.929,0.316,-0.764,-0.608,0.346,-0.084,-0.775
"P16401","H1-5",NA,NA,-0.174,-0.999,-1.396,0.181,-1.769,-0.677,0.273,-0.19,-1.191
"Q96A08","H2BC1",NA,NA,-0.129,0.336,0.173,0.061,0.139,0.117,-0.172,0.203,0.305
"P16401","H1-5",NA,NA,-0.325,0.155,-0.547,0.033,-0.491,0.053,-0.031,-0.533,-0.363
"Q15648","MED1",NA,NA,-0.188,-0.133,-0.069,-0.056,0.006,-0.108,-0.021,0.099,-0.271
"P09211","GSTP1",NA,NA,-0.027,0.3,0.109,0.482,0.223,0.373,0.286,0.171,0.229
"Q15843","NEDD8",NA,NA,-0.295,0.345,0.381,0.087,0.792,0.271,0.805,1.625,0.292
"Q92794","KAT6A",NA,NA,0.565,-3.152,-3.505,0.457,NA,-1.473,0.06,0.331,NA
"Q15233","NONO",NA,NA,-0.047,0.529,0.664,0.312,0.58,0.627,0.527,0.156,0.618
"P35579","MYH9",NA,NA,-0.16,1.231,1.28,0.343,1.212,1.309,0.357,-0.063,1.132
"Q15596","NCOA2",NA,NA,-0.072,0.115,0.024,0.574,0.048,0.17,0.505,0.802,0.019
"P11142","HSPA8",NA,NA,-0.262,0.405,0.15,0.111,0.469,0.32,0.067,0.081,0.045
"Q14151","SAFB2",NA,NA,-0.188,-0.329,-0.515,0.074,-0.647,-0.231,0.069,0.077,-0.673
"P67775","PPP2CA",NA,NA,-0.159,0.356,0.263,0.356,0.212,0.711,0.369,0.256,0.318
"Q9Y6Q9","NCOA3",NA,NA,-0.268,-0.028,0.15,0.025,-0.113,0.189,0.373,-0.038,-0.2
"Q14814","MEF2D",NA,NA,-0.441,-0.276,-0.466,0.403,-0.444,-0.573,0.066,-0.658,-0.226
"P78527","PRKDC",NA,NA,0.337,0.1,0.076,0.521,0.073,0.074,0.219,0.464,0.232
"O95251","KAT7",NA,NA,-0.207,-0.036,0.092,0.277,-0.005,0.189,0.335,-0.057,0.216
"P62826","RAN",NA,NA,-0.211,-0.444,-0.449,0.159,-0.169,-0.322,0.084,-0.113,-0.288
"P78527","PRKDC",NA,NA,-0.043,0.241,0.297,-0.04,0.304,0.311,0.389,0.367,0.112
"P35579","MYH9",NA,NA,-0.213,0.46,0.453,0.093,0.366,0.332,-0.055,0.035,0.319
"P09622","DLD",NA,NA,-0.083,0.124,0.075,-0.149,0.508,0.069,0.171,0.012,0.077
"P35579","MYH9",NA,NA,-0.204,0.248,0.134,0.076,0.113,0.27,-0.033,-0.115,0.349
"P11142","HSPA8",NA,NA,-0.04,0.148,0.148,0.152,0.389,0.487,0.153,0.172,0.286
"P04040","CAT",NA,NA,0.034,-0.495,-0.52,0.357,0.177,0.064,0.175,0.791,-0.119
"P12882","MYH1",NA,NA,-1.682,-1.464,-2.816,-0.126,-1.935,-1.536,-1.668,-1.541,-2.31
"P78527","PRKDC",NA,NA,-0.375,-0.007,-0.216,-0.05,0.216,0.134,-0.181,-0.237,0.005
"Q92922","SMARCC1",NA,NA,-0.102,-0.066,-0.514,-0.215,-0.198,-0.099,-0.098,0.226,-0.427
"P35579","MYH9",NA,NA,-0.58,-0.16,-0.303,-0.153,-0.309,-0.24,-0.204,-0.328,-0.278
"Q9BY77","POLDIP3",NA,NA,-0.612,-0.686,-0.988,0.02,-1.171,-0.884,-0.191,-0.612,-0.777
"Q9H2F5","EPC1",NA,NA,-0.173,0.312,0.324,0.129,0.262,0.277,0.282,0.087,0.097
"P00367","GLUD1",NA,NA,-0.379,0.756,0.719,0.318,0.734,0.796,0.342,0.354,0.621
"O95749","GGPS1",NA,NA,-0.381,-0.108,-0.471,-0.154,0.118,-0.147,0.127,-0.343,-0.163
"Q92922","SMARCC1",NA,NA,-0.214,-0.262,-0.928,0.597,0.159,-0.134,0.403,-0.369,-0.548
"Q08945","SSRP1",NA,NA,-0.092,-0.427,-0.331,0.16,-0.059,-0.182,-0.098,0.221,-0.113
"Q15291","RBBP5",NA,NA,-0.281,-0.193,-0.549,0.076,-0.306,-0.101,0.314,-0.176,-0.519
"Q13547","HDAC1",NA,NA,-0.153,-0.267,-0.144,0.082,-0.061,-0.097,-0.111,-0.037,-0.183
"P16403","H1-2",NA,NA,0.243,0.124,-0.066,0.241,-0.191,0.246,0.109,0.634,-0.025
"Q09472","EP300",NA,NA,1.442,0.345,-0.547,1.918,1.245,0.282,1.739,1.365,1.703
"P06748","NPM1",NA,NA,0.051,-1.784,-2.595,0.061,-2.463,-1.123,-1.094,-0.442,-2.044
"P35579","MYH9",NA,NA,-0.01,0.245,0.235,0.041,0.348,0.434,0.182,-0.049,0.293
"Q92769","HDAC2",NA,NA,-0.053,-1.389,-1.961,0.323,-3.744,-1.939,0.068,0.009,-3.498
"P07900","HSP90AA1",NA,NA,0.06,-1.415,-1.376,-0.093,-2.188,-1.491,0.136,-0.005,-1.977
